modelo,metodo,balanceo,recall_cv,recall_cv_std,precision_cv,f1_cv,balanced_accuracy_cv,pr_auc_cv,roc_auc_cv,recall_test,precision_test,f1_test,balanced_accuracy_test,pr_auc_test,roc_auc_test,tiempo_s,params
LinearSVC,grid_search,smote,0.8099734635955977,0.0067142202309783,0.1095848240543462,0.1930485706421906,0.8022691353188458,0.2314002602087734,0.8791600851063786,0.8186119873817035,0.1102320395051239,0.1943001544293135,0.8062088336770702,0.2304131922800339,0.8817060731918027,104.35,"{'classifier__estimator__C': 0.1, 'classifier__estimator__loss': 'squared_hinge', 'classifier__estimator__penalty': 'l1'}"
LinearSVC,grid_search,adasyn,0.8301782770517157,0.0086450228268459,0.1031405638718652,0.1834838480846145,0.802430479437237,0.2308161108337532,0.8795048524365466,0.8367507886435331,0.1044651208585634,0.1857411702919164,0.8064555734820757,0.2304544932508743,0.8818120142934799,108.58,"{'classifier__estimator__C': 0.01, 'classifier__estimator__loss': 'squared_hinge', 'classifier__estimator__penalty': 'l1'}"
LinearSVC,grid_search,weights,0.0268088577692425,0.0029361930315964,0.4936839179415061,0.0508478493802176,0.5129768234231796,0.232775901807749,0.8790368716186304,0.029968454258675,0.5205479452054794,0.0566741237882177,0.5145535533093838,0.235416469011844,0.8813571284144729,158.5,"{'classifier__estimator__C': 0.1, 'classifier__estimator__class_weight': {0: 1, 1: 8}, 'classifier__estimator__loss': 'squared_hinge', 'classifier__estimator__penalty': 'l2'}"
LinearSVC,random_search,sin_balanceo,0.033609412290264,0.0022579355964853,0.4772431809041107,0.0627863732905203,0.516230976417343,0.2312263856946229,0.876321368335595,0.0358832807570977,0.4764397905759162,0.0667400073340667,0.5173263920643293,0.2339090717728872,0.877835916263501,169.25,"{'classifier__estimator__C': 2.1368329072358767, 'classifier__estimator__loss': 'squared_hinge', 'classifier__estimator__penalty': 'l2'}"
LinearSVC,random_search,smote,0.8103675037085415,0.0077079440939027,0.1096968188696203,0.1932342692300476,0.8025415218648074,0.2323689762940612,0.8795917305258814,0.817429022082019,0.1106544251094267,0.1949224259520451,0.8062079894088787,0.2318535828068255,0.882004102289438,179.37,"{'classifier__estimator__C': 0.0016813042706040676, 'classifier__estimator__loss': 'squared_hinge', 'classifier__estimator__penalty': 'l2'}"
LinearSVC,random_search,adasyn,0.8295869012617538,0.008399000316381,0.102729495046555,0.1828188666012586,0.8017133388383979,0.2300991414615043,0.8792299206452201,0.8379337539432177,0.104197312935177,0.1853467073702573,0.8065671624468267,0.2293708423123472,0.8816502908397172,226.6,"{'classifier__estimator__C': 0.03148911647956861, 'classifier__estimator__loss': 'squared_hinge', 'classifier__estimator__penalty': 'l1'}"
LinearSVC,random_search,weights,0.028484365857626,0.0029493176610838,0.484732392560902,0.0537997121752005,0.5137715092762504,0.2323064794146517,0.8786634935760148,0.0315457413249211,0.5,0.059347181008902,0.5152806720110849,0.2349891522457159,0.8809131670747361,92.07,"{'classifier__estimator__C': 0.679657809075816, 'classifier__estimator__class_weight': {0: 1, 1: 6.318855239814498}, 'classifier__estimator__loss': 'squared_hinge', 'classifier__estimator__penalty': 'l2'}"
LinearSVC,optuna,sin_balanceo,0.033609412290264,0.0022579355964853,0.4772431809041107,0.0627863732905203,0.516230976417343,0.2312259514331238,0.8763214547509515,0.0358832807570977,0.4764397905759162,0.0667400073340667,0.5173263920643293,0.2338888852259486,0.8778343926990638,267.55,"{'C': 7.443070276210447, 'penalty': 'l2'}"
LinearSVC,optuna,smote,0.810761883720535,0.0075752039009943,0.1094961780915256,0.1929339717324415,0.8024772262506511,0.2322682095761321,0.8796137192541493,0.818217665615142,0.110384083413129,0.1945251710884035,0.8062208572206241,0.2318627042405894,0.8819615662141493,307.35,"{'C': 0.008698394786390376, 'penalty': 'l1'}"
LinearSVC,optuna,adasyn,0.8300797548842279,0.0081990391351832,0.102885077176053,0.1830771519887425,0.8020828172761438,0.2302894037920905,0.8793085895915246,0.8375394321766562,0.1041789287816362,0.1853079741755365,0.8064007639792569,0.2295856356005658,0.8816967765374648,509.69,"{'C': 0.021206551805691223, 'penalty': 'l1'}"
